audio,transcript,transcription
763941567_431196_431197_31682,altımış birin sentyabr ayı,altımış birin sentyabr ayı
763941567_431252_431255_28641,sentyabrın 25-i 2003-cü il, sentyabrın 25-i 2003-cü il
763941567_431268_431269_27507,1902-ci ilin iyunun 29-u,1902-ci ilin iyunun 29-u
763941567_431292_431293_30701,on bir iyun 1921,on bir iyun 1921
1269496718_431302_431303_28140,1966-cı ilin fevralın 20-i,1966-cı ilin fevralın 20-i
1269496718_431310_431311_28236,martın 16-i 1921-ci il,martın 16-i 1921-ci il
763941567_431335_431338_27854,1956-cı ilin iyulun 18-i, 1956-cı ilin iyulun 18-i
1269496718_431369_431374_31020,otuz avqust 1975,otuz avqust 1975
1269496718_431455_431458_28297,yanvarın 18-i 1953-cü il,yanvarın 18-i 1953-cü il
763941567_431471_431474_30459,altı dekabr 1968,altı dekabr 1968
763941567_431541_431544_28841,iyulun 3-ü 1939-cu il,iyulun 3-ü 1939-cu il
1269496718_431567_431568_29518,22.09.1980,22.09.1980
1269496718_431583_431586_31327,on ikinin avqust ayı,on ikinin avqust ayı
763941567_431589_431590_30610,on üç iyun 2025,on üç iyun 2025
1269496718_431603_431604_30962,bir aprel 1983,bir aprel 1983
763941567_431621_431624_31541,qırx üçün yanvar ayı,qırx üçün yanvar ayı
1269496718_431623_431626_28725,noyabrın 16-i 1996-cı il,noyabrın 16-i 1996-cı il
1269496718_431633_431634_28402,oktyabrın 31-i 1979-cu il,oktyabrın 31-i 1979-cu il
763941567_431625_431648_27674,1926-cı ilin mayın 2-i,1926-cı ilin mayın 2-i
1269496718_431701_431702_31278,iyirmi beşin yanvar ayı,iyirmi beşin yanvar ayı
1269496718_431739_431740_29234,23.07.1934,23.07.1934
1269496718_431751_431754_32142,qırx yeddinin noyabr ayı,qırx yeddinin noyabr ayı
1269496718_431755_431758_29905,14.05.1939,14.05.1939
763941567_431811_431814_30226,iyirmi dörd avqust 1902,iyirmi dörd avqust 1902
763941567_431823_431826_29829,17.07.2001,17.07.2001
1269496718_431833_431836_29689,16.01.1934,16.01.1934
1269496718_431840_431842_28531,mayın 3-ü 1929-cu il,mayın 3-ü 1929-cu il
1269496718_431851_431852_29180,01.02.1993,01.02.1993
2016758610_431874_431879_28680,yanvarın 2-i 1956-cı il,yanvarın 2-i 1956-cı il
2016758610_431880_431881_29482,17.04.1983,17.04.1983
1269496718_431933_431934_27962,2024-cü ilin avqustun 5-i,2024-cü ilin avqustun 5-i
1269496718_431976_431977_29706,24.09.1988,24.09.1988
1269496718_431980_431981_28461,yanvarın 31-i 1911-ci il,yanvarın 31-i 1911-ci il
1269496718_432018_432019_30703,səkkiz aprel 2012,səkkiz aprel 2012
1269496718_432024_432025_30182,beş iyun 1970,beş iyun 1970
1269496718_432026_432027_29675,27.08.1910,27.08.1910
1269496718_432038_432039_32158,altımış beşin yanvar ayı,altımış beşin yanvar ayı
1269496718_432048_432049_29629,10.08.2018,10.08.2018
1269496718_432071_432072_28966,iyulun 10-u 1983-cü il,iyulun 10-u 1983-cü il
1269496718_432073_432074_31370,əlli altının fevral ayı,əlli altının fevral ayı
1269496718_432085_432086_31375,altımış dördün iyul ayı,altımış dördün iyul ayı
1269496718_432107_432108_28146,2019-cu ilin fevralın 18-i,2019-cu ilin fevralın 18-i
1269496718_432111_432112_32052,qırx altının may ayı,qırx altının may ayı
1269496718_432119_432120_29187,20.09.1923,20.09.1923
1269496718_432157_432158_31961,otuz səkkizin dekabr ayı,otuz səkkizin dekabr ayı
1269496718_432163_432164_28906,oktyabrın 24-ü 1979-cu il,oktyabrın 24-ü 1979-cu il
1269496718_432169_432170_27950,1916-cı ilin martın 3-ü,1916-cı ilin martın 3-ü
1269496718_432189_432190_30200,on doqquz yanvar 1990,on doqquz yanvar 1990
1269496718_432197_432198_31603,qırx üçün mart ayı,qırx üçün mart ayı
1269496718_432199_432200_27921,2025-ci ilin yanvarın 15-i,2025-ci ilin yanvarın 15-i
912272968_432213_432214_30512,iyirmi sentyabr 1914,iyirmi sentyabr 1914
763941567_432259_432260_28475,mayın 23-ü 2005-ci il,mayın 23-ü 2005-ci il
763941567_432283_432284_30770,iyirmi dörd yanvar 1988,iyirmi dörd yanvar 1988
763941567_432295_432298_27669,1909-cu ilin noyabrın 28-i,1909-cu ilin noyabrın 28-i
763941567_432313_432318_29632,14.02.1986,14.02.1986
763941567_432330_432332_31873,səksən doqquzun fevral ayı, səksən doqquzun fevral ayı
919361428_432331_432333_27564,2007-ci ilin martın 27-i,2007-ci ilin martın 27-i
919361428_432339_432340_28467,martın 20-i 1985-ci il,martın 20-i 1985-ci il
919361428_432401_432404_30315,iyirmi doqquz dekabr 1938,iyirmi doqquz dekabr 1938
919361428_432453_432454_28969,sentyabrın 25-i 2021-ci il,sentyabrın 25-i 2021-ci il
919361428_432475_432478_28427,martın 10-u 2013-cü il,martın 10-u 2013-cü il
763941567_432477_432480_28007,1933-cü ilin martın 24-ü, 1933-cü ilin martın 24-ü
763941567_432501_432504_29093,aprelin 8-i 1987-ci il,aprelin 8-i 1987-ci il
763941567_432509_432514_32127,iyirmi beşin aprel ayı,iyirmi beşin aprel ayı
919361428_432521_432522_29479,26.05.2025,26.05.2025
1269496718_432525_432527_27473,1975-ci ilin yanvarın 3-ü,1975-ci ilin yanvarın 3-ü
919361428_432546_432548_29443,17.03.1998,17.03.1998
919361428_432549_432552_27827,1915-ci ilin yanvarın 22-i,1915-ci ilin yanvarın 22-i
1269496718_432557_432560_27830,2005-ci ilin dekabrın 21-i,2005-ci ilin dekabrın 21-i
919361428_432579_432580_28013,1974-cü ilin fevralın 16-i,1974-cü ilin fevralın 16-i
1051072005_432631_432632_27583,1947-ci ilin dekabrın 30-u,1947-ci ilin dekabrın 30-u
954206432_432641_432644_31772,on doqquzun avqust ayı,on doqquzun avqust ayı
1051072005_432655_432656_28277,fevralın 22-i 1908-ci il,fevralın 22-i 1908-ci il
1051072005_432663_432664_31826,altımış ikinin yanvar ayı,altımış ikinin yanvar ayı
954206432_432691_432694_27456,2003-cü ilin sentyabrın 25-i,2003-cü ilin sentyabrın 25-i
954206432_432699_432702_31476,otuz dördün yanvar ayı,otuz dördün yanvar ayı
1051072005_432744_432746_27610,1956-cı ilin martın 20-i,1956-cı ilin martın 20-i
954206432_432769_432772_28132,2003-cü ilin dekabrın 15-i,2003-cü ilin dekabrın 15-i
954206432_432811_432814_31945,doxsan birin dekabr ayı,doxsan birin dekabr ayı
954206432_432827_432830_31139,iki sentyabr 2024,iki sentyabr 2024
1051072005_432855_432856_30556,on iki oktyabr 2022,on iki oktyabr 2022
1051072005_432869_432872_27685,1971-ci ilin mayın 21-i,1971-ci ilin mayın 21-i
1051072005_432876_432878_31184,altımış birin dekabr ayı,altımış birin dekabr ayı
954206432_432877_432880_28581,dekabrın 12-i 1948-ci il,dekabrın 12-i 1948-ci il
1051072005_432929_432930_30262,doqquz iyul 1945,doqquz iyul 1945
954206432_432937_432940_31457,ikimin səkkizin dekabr ayı,ikimin səkkizin dekabr ayı
1051072005_432943_432946_28264,iyulun 15-i 1903-cü il,iyulun 15-i 1903-cü il
1051072005_432949_432950_30147,12.02.2005,12.02.2005
1051072005_432951_432952_28622,mayın 10-u 2003-cü il,mayın 10-u 2003-cü il
1051072005_432963_432964_31587,əlli beşin may ayı,əlli beşin may ayı
1051072005_432975_432976_27602,1938-ci ilin yanvarın 2-i,1938-ci ilin yanvarın 2-i
954206432_432983_432988_28753,fevralın 1-i 1915-ci il,fevralın 1-i 1915-ci il
1051072005_433021_433022_30163,doqquz oktyabr 1945,doqquz oktyabr 1945
1051072005_433025_433026_29927,15.03.1935,15.03.1935
1051072005_433055_433056_29398,11.01.2011,11.01.2011
1269496718_433083_433085_31670,iyirmi ikinin oktyabr ayı,iyirmi ikinin oktyabr ayı
1051072005_433092_433095_27792,1951-ci ilin fevralın 23-ü,1951-ci ilin fevralın 23-ü
1051072005_433116_433119_31578,səksən beşin sentyabr ayı,səksən beşin sentyabr ayı
1269496718_433122_433125_30789,on altı dekabr 1967,on altı dekabr 1967
1051072005_433153_433154_30221,on iki mart 1982,on iki mart 1982
1051072005_433159_433162_29286,30.03.2024,30.03.2024
1051072005_433171_433176_29030,iyulun 7-i 1919-cu il,iyulun 7-i 1919-cu il
1269496718_433175_433179_30713,üç iyul 1968,üç iyul 1968
1051072005_433197_433200_31129,on dörd mart 1938,on dörd mart 1938
1269496718_433265_433266_29628,16.05.1909,16.05.1909
1269496718_433273_433277_28139,2022-ci ilin aprelin 3-ü,2022-ci ilin aprelin 3-ü
1269496718_433279_433282_29034,mayın 5-i 1988-ci il,mayın 5-i 1988-ci il
1269496718_433284_433289_29521,12.09.1969,12.09.1969
1051072005_433295_433297_30085,14.07.1969,14.07.1969
1051072005_433308_433313_30834,iki iyul 1929,iki iyul 1929
1269496718_433322_433323_29471,14.01.1931,14.01.1931
1269496718_433348_433351_27690,1935-ci ilin noyabrın 6-ı,1935-ci ilin noyabrın 6-ı
1269496718_433352_433355_29243,11.06.1980,11.06.1980
1051072005_433364_433366_27744,1955-ci ilin fevralın 28-i,1955-ci ilin fevralın 28-i
1051072005_433375_433380_28650,iyulun 13-ü 1941-ci il,iyulun 13-ü 1941-ci il
1269496718_433395_433398_27813,2013-cü ilin fevralın 27-i,2013-cü ilin fevralın 27-i
912272968_433401_433408_31206,on dördün aprel ayı,on dördün aprel ayı
1269496718_433441_433447_29507,09.06.1997,09.06.1997
1051072005_433459_433467_29841,29.05.1947,29.05.1947
1269496718_433483_433488_31742,yetmiş üçün sentyabr ayı,yetmiş üçün sentyabr ayı
1051072005_433493_433496_31284,otuz birin oktyabr ayı,otuz birin oktyabr ayı
1269496718_433537_433538_31678,on doqquzun yanvar ayı,on doqquzun yanvar ayı
1051072005_433541_433544_29006,fevralın 1-i 1983-cü il,fevralın 1-i 1983-cü il
912272968_433543_433550_28861,sentyabrın 27-i 1924-cü il,sentyabrın 27-i 1924-cü il
912272968_433593_433594_29861,20.09.1978,20.09.1978
912272968_433604_433608_28960,martın 15-i 2003-cü il,martın 15-i 2003-cü il
912272968_433613_433616_27997,1929-cu ilin avqustun 29-u,1929-cu ilin avqustun 29-u
1269496718_433615_433618_28656,sentyabrın 5-i 1909-cu il, sentyabrın 5-i 1909-cu il
912272968_433648_433652_30316,on dörd avqust 1946,on dörd avqust 1946
1051072005_433651_433653_27207,1953-cü ilin yanvarın 18-i,1953-cü ilin yanvarın 18-i
912272968_433669_433674_31488,əlli səkkizin dekabr ayı,əlli səkkizin dekabr ayı
1269496718_433673_433678_30518,səkkiz dekabr 1954,səkkiz dekabr 1954
1051072005_433683_433685_32128,qırx ikinin may ayı,qırx ikinin may ayı
912272968_433702_433710_28088,1945-ci ilin martın 2-i,1945-ci ilin martın 2-i
912272968_433711_433718_28600,yanvarın 28-i 1925-ci il,yanvarın 28-i 1925-ci il
1269496718_433724_433727_29603,10.07.1926,10.07.1926
1269496718_433761_433765_28138,1975-ci ilin yanvarın 23-ü,1975-ci ilin yanvarın 23-ü
912272968_433773_433776_30629,iyirmi doqquz iyul 2004,iyirmi doqquz iyul 2004
1051072005_433799_433804_30201,iyirmi yanvar 1905,iyirmi yanvar 1905
1269496718_433819_433824_28938,martın 27-i 1985-ci il,martın 27-i 1985-ci il
1051072005_433831_433836_30671,üç yanvar 2002,üç yanvar 2002
1269496718_433834_433838_29953,10.06.1900,10.06.1900
912272968_433835_433842_29221,30.04.1903,30.04.1903
1269496718_433839_433845_29070,iyulun 1-i 1978-ci il,iyulun 1-i 1978-ci il
1051072005_433846_433849_31382,iyirmi altının oktyabr ayı,iyirmi altının oktyabr ayı
912272968_433871_433878_27884,1938-ci ilin aprelin 4-ü,1938-ci ilin aprelin 4-ü
1269496718_433877_433883_28064,1934-cü ilin sentyabrın 7-i,1934-cü ilin sentyabrın 7-i
1269496718_433906_433908_30079,16.07.2003,16.07.2003
1269496718_433915_433918_31159,iyirmi səkkiz oktyabr 1973,iyirmi səkkiz oktyabr 1973
1051072005_433961_433964_29450,21.04.1947,21.04.1947
1269496718_433947_433966_27970,1907-ci ilin yanvarın 25-i,1907-ci ilin yanvarın 25-i
912272968_433991_433992_31152,iyirmi aprel 1909,iyirmi aprel 1909
912272968_434000_434001_31871,əlli birin iyul ayı,əlli birin iyul ayı
912272968_434119_434121_30758,iyirmi doqquz oktyabr 1913,iyirmi doqquz oktyabr 1913
912272968_434130_434135_32157,yetmiş birin sentyabr ayı,yetmiş birin sentyabr ayı
912272968_434207_434210_28025,1983-cü ilin noyabrın 6-ı,1983-cü ilin noyabrın 6-ı
912272968_434228_434233_30094,22.05.1998,22.05.1998
1051072005_434238_434239_30286,iyirmi yeddi iyul 1995,iyirmi yeddi iyul 1995
912272968_434242_434245_31732,yetmiş ikinin noyabr ayı,yetmiş ikinin noyabr ayı
912272968_434252_434255_29189,20.06.1915,20.06.1915
912272968_434276_434279_32149,əlli doqquzun fevral ayı,əlli doqquzun fevral ayı
912272968_434298_434300_30241,iyirmi yeddi may 1900,iyirmi yeddi may 1900
912272968_434345_434346_30106,28.03.1940,28.03.1940
912272968_434367_434368_31720,iyirmi birin noyabr ayı,iyirmi birin noyabr ayı
1051072005_434370_434372_27667,1924-cü ilin martın 20-i,1924-cü ilin martın 20-i
1051072005_434389_434392_30382,bir iyun 1928,bir iyun 1928
1051072005_434403_434404_31014,iki dekabr 1913,iki dekabr 1913
1051072005_434409_434412_30727,beş noyabr 2021,beş noyabr 2021
1051072005_434419_434422_31304,ikimin üçün avqust ayı,ikimin üçün avqust ayı
912272968_434431_434434_27433,1977-ci ilin noyabrın 21-i,1977-ci ilin noyabrın 21-i
1051072005_434463_434464_31311,otuz doqquzun iyul ayı,otuz doqquzun iyul ayı
912272968_434461_434465_32058,otuz altının oktyabr ayı,otuz altının oktyabr ayı
1051072005_434466_434468_27548,1923-cü ilin martın 21-i,1923-cü ilin martın 21-i
1051072005_434489_434492_29883,01.12.1980,01.12.1980
1051072005_434493_434494_27851,1953-cü ilin iyulun 15-i,1953-cü ilin iyulun 15-i
912272968_434497_434500_27707,2021-ci ilin mayın 22-i,2021-ci ilin mayın 22-i
1051072005_434505_434508_29988,25.09.2008,25.09.2008
1051072005_434525_434528_29670,13.04.2005,13.04.2005
1051072005_434529_434530_32104,on ikinin yanvar ayı,on ikinin yanvar ayı
1051072005_434531_434534_27256,1903-cü ilin avqustun 21-i,1903-cü ilin avqustun 21-i
912272968_434539_434540_31747,yetmiş dördün may ayı,yetmiş dördün may ayı
1051072005_434569_434572_29340,08.01.2002,08.01.2002
912272968_434581_434586_29289,07.04.1987,07.04.1987
1051072005_434607_434610_29042,iyulun 4-ü 1969-cu il,iyulun 4-ü 1969-cu il
912272968_434609_434612_31142,altı dekabr 1950,altı dekabr 1950
1051072005_434665_434666_29992,12.01.1968,12.01.1968
1051072005_434673_434674_27790,1989-cu ilin yanvarın 29-u,1989-cu ilin yanvarın 29-u
1051072005_434683_434684_31279,doxsan ikinin fevral ayı,doxsan ikinin fevral ayı
1051072005_434693_434694_30486,iyirmi mart 1998,iyirmi mart 1998
1051072005_434695_434696_31452,qırx səkkizin yanvar ayı,qırx səkkizin yanvar ayı
1051072005_434697_434698_30686,on dörd aprel 2019,on dörd aprel 2019
1051072005_434707_434708_31968,doxsan yeddinin yanvar ayı,doxsan yeddinin yanvar ayı
1051072005_434723_434724_29754,14.01.1945,14.01.1945
1051072005_434731_434732_27965,1948-ci ilin aprelin 26-ı,1948-ci ilin aprelin 26-ı
1051072005_434735_434736_29429,10.05.1994,10.05.1994
1051072005_434761_434762_29022,iyunun 2-i 2009-cu il,iyunun 2-i 2009-cu il
1051072005_434763_434764_31356,doxsan altının aprel ayı,doxsan altının aprel ayı
912272968_434795_434796_30113,04.04.1978,04.04.1978
568204248_434891_434892_27657,1972-ci ilin mayın 3-ü,1972-ci ilin mayın 3-ü
568204248_434895_434896_31044,iyirmi doqquz noyabr 2022,iyirmi doqquz noyabr 2022
568204248_434897_434898_27730,1982-ci ilin aprelin 12-i,1982-ci ilin aprelin 12-i
568204248_434899_434900_29168,01.02.1948,01.02.1948
568204248_434903_434904_27555,1901-ci ilin avqustun 19-u,1901-ci ilin avqustun 19-u
568204248_434923_434924_31272,doxsan ikinin yanvar ayı,doxsan ikinin yanvar ayı
568204248_434943_434944_27572,1903-cü ilin dekabrın 23-ü,1903-cü ilin dekabrın 23-ü
568204248_434945_434946_29888,07.07.1944,07.07.1944
568204248_434951_434952_29489,18.05.2020,18.05.2020
912272968_434962_434964_29056,martın 7-i 1937-ci il,martın 7-i 1937-ci il
568204248_434967_434970_27733,1986-cı ilin aprelin 2-i,1986-cı ilin aprelin 2-i
568204248_434985_434987_32074,qırx üçün sentyabr ayı,qırx üçün sentyabr ayı
912272968_434983_434986_31357,ikimin birin mart ayı,ikimin birin mart ayı
912272968_434993_434996_30363,iyirmi dekabr 2018,iyirmi deqabr 2018
568204248_435003_435004_29901,05.07.1941,05.07.1941
568204248_435019_435020_27972,1951-ci ilin fevralın 15-i,1951-ci ilin fevralın 15-i
1269496718_435044_435047_31391,yetmiş üçün noyabr ayı,yetmiş üçün noyabr ayı
568204248_435076_435080_31911,doxsan ikinin mart ayı,doxsan ikinin mart ayı
912272968_435091_435098_28282,fevralın 13-ü 2006-cı il,fevralın 13-ü 2006-cı il
912272968_435109_435112_31507,otuz yeddinin dekabr ayı,otuz yeddinin dekabr ayı
568204248_435115_435118_27702,1984-cü ilin fevralın 13-ü,1984-cü ilin fevralın 13-ü
1269496718_435125_435128_29151,dekabrın 13-ü 2011-ci il,dekabrın 13-ü 2011-ci il
568204248_435147_435150_27711,1984-cü ilin avqustun 25-i,1984-cü ilin avqustun 25-i
568204248_435151_435155_27450,1963-cü ilin martın 5-i,1963-cü ilin martın 5-i
568204248_435157_435161_27929,2002-ci ilin iyunun 3-ü,2002-ci ilin iyunun 3-ü
568204248_435176_435179_28117,1941-ci ilin martın 23-ü,1941-ci ilin martın 23-ü
568204248_435188_435189_27545,1954-cü ilin iyulun 27-i,1954-cü ilin iyulun 27-i
568204248_435195_435199_31053,on beş noyabr 2003,on beş noyabr 2003
568204248_435201_435203_31963,on yeddinin may ayı,on yeddinin may ayı
912272968_435198_435205_28596,noyabrın 4-ü 1907-ci il,noyabrın 4-ü 1907-ci il
1269496718_435208_435211_30529,iki iyun 2015,iki iyun 2015
912272968_435214_435219_30723,bir yanvar 1918,bir yanvar 1918
568204248_435262_435266_31521,ikimin ikinin may ayı,ikimin ikinin may ayı
1269496718_435269_435275_27969,1986-cı ilin sentyabrın 2-i,1986-cı ilin sentyabrın 2-i
568204248_435306_435307_31802,altımış beşin noyabr ayı,altımış beşin noyabr ayı
619589413_435363_435367_30812,iyirmi beş fevral 2000,iyirmi beş fevral 2000
912272968_435379_435388_31034,iyirmi dörd avqust 1903,iyirmi dörd avqust 1903
1269496718_435416_435419_30133,01.10.1947,01.10.1947
568204248_435420_435431_27594,1993-cü ilin noyabrın 18-i,1993-cü ilin noyabrın 18-i
912272968_435460_435467_27477,1963-cü ilin avqustun 22-i,1963-cü ilin avqustun 22-i
1269496718_435477_435483_29686,18.08.1929,18.08.1929
1269496718_435484_435493_31343,doxsan dördün fevral ayı,doxsan dördün fevral ayı
912272968_435492_435503_30392,iyirmi üç iyun 2019,iyirmi üç iyun 2019
912272968_435524_435529_27643,1936-cı ilin iyunun 20-i,1936-cı ilin iyunun 20-i
341881303_435552_435563_31360,doxsan ikinin sentyabr ayı,doxsan ikinin sentyabr ayı
912272968_435557_435565_31218,əlli yeddinin aprel ayı,əlli yeddinin aprel ayı
341881303_435598_435605_29509,06.02.1923,06.02.1923
568204248_435639_435643_30858,on dörd may 1918,on dörd may 1918
1269496718_435648_435655_30292,iyirmi dörd oktyabr 1937,iyirmi dörd oktyabr 1937
1269496718_435656_435665_30340,iyirmi altı may 1921,iyirmi altı may 1921
1269496718_435684_435689_28557,noyabrın 15-i 1932-ci il,noyabrın 15-i 1932-ci il
619589413_435704_435710_27354,1951-ci ilin noyabrın 12-i,1951-ci ilin noyabrın 12-i
619589413_435712_435720_29292,07.09.2025,07.09.2025
912272968_435769_435778_30967,beş sentyabr 2009,beş sentyabr 2009
568204248_435773_435780_31858,altımış səkkizin iyul ayı,altımış səkkizin iyul ayı
568204248_435811_435815_30452,bir aprel 2022,bir aprel 2022
619589413_435857_435863_30637,otuz yanvar 1938,otuz yanvar 1938
568204248_435855_435867_27288,1943-cü ilin martın 12-i,1943-cü ilin martın 12-i
912272968_435861_435871_29760,08.10.1966,08.10.1996
619589413_435921_435935_28413,oktyabrın 26-ı 2006-cı il,oktyabrın 26-ı 2006-cı il
619589413_435937_435944_31663,qırx ikinin oktyabr ayı,qırx ikinin oktyabr ayı
341881303_435949_435962_31170,on doqquzun iyun ayı,on doqquzun iyun ayı
619589413_435967_435974_27689,2003-cü ilin iyunun 25-i, 2003-cü ilin iyulun 25-i
860296669_435972_435978_30712,iyirmi doqquz may 1927,iyirmi doqquz may 1927
1269496718_435995_436000_29468,31.08.1940,31.08.1940
341881303_436007_436011_31859,on birin yanvar ayı,on birin yanvar ayı
912272968_436026_436030_31984,doxsan beşin avqust ayı,doxsan beşin avqust ayı
860296669_436027_436041_31783,səksən beşin iyun ayı, səksən beşin iyun ayı
912272968_436052_436062_28894,avqustun 16-i 2008-ci il,avqustun 16-i 2008-ci il
912272968_436063_436076_29948,20.02.1939,20.02.1939
860296669_436093_436102_29217,09.03.1932,09.03.1932
619589413_436104_436111_28491,iyunun 24-ü 2005-ci il, iyunun 24-ü 2005-ci il
860296669_436105_436117_28995,martın 3-ü 1942-ci il,martın 3-ü 1942-ci il
912272968_436118_436129_31657,ikimin yeddinin iyun ayı,ikimin yeddinin iyun ayı
860296669_436127_436137_29576,20.06.1937,20.06.1937
568204248_436135_436144_28640,iyunun 25-i 2008-ci il,iyunun 25-i 2008-ci il
568204248_436207_436215_27391,1937-ci ilin fevralın 15-i,1937-ci ilin fevralın 15-i
568204248_436218_436222_32025,on yeddinin dekabr ayı,on yeddinin dekabr ayı
912272968_436219_436225_27212,1904-cü ilin avqustun 22-i,1904-cü ilin avqustun 22-i
1269496718_436220_436228_30690,bir may 1910,bir may 1910
568204248_436290_436297_31793,altımış beşin aprel ayı,altımış beşin aprel ayı
568204248_436324_436344_29410,19.06.1919,19.06.1919
341881303_436341_436355_27452,2022-ci ilin aprelin 16-i,2022-ci ilin aprelin 16-i
912272968_436389_436396_28258,aprelin 15-i 1977-ci il,aprelin 15-i 1977-ci il
568204248_436390_436403_30875,on beş noyabr 1937,on beş noyabr 1937
860296669_436400_436407_32135,iyirmi yeddinin mart ayı,iyirmi yeddinin mart ayı
912272968_436399_436408_29435,13.08.1903,13.08.1903
568204248_436413_436417_29188,21.09.2017,21.09.2017
341881303_436416_436425_30791,on altı may 1971,on altı may 1971
619589413_436427_436435_28401,dekabrın 3-ü 2004-cü il,dəkabrın 3-ü 2004-cü il
1269496718_436431_436438_31454,on səkkizin iyul ayı,on səkkizin iyul ayı
912272968_436430_436441_28850,sentyabrın 21-i 2002-ci il,sentyabrın 21-i 2002-ci il
1269496718_436440_436443_29731,15.03.1928,15.03.1928
619589413_436459_436469_28097,1906-cı ilin iyulun 23-ü,1906-cı ilin iyulun 23-ü
912272968_436463_436476_30824,iki yanvar 2005,iki yanvar 2005
619589413_436482_436488_30655,beş dekabr 1962,beş dekabr 1962
619589413_436490_436495_31048,yeddi dekabr 1924,yeddi dekabr 1924
860296669_436500_436505_27437,1964-cü ilin oktyabrın 12-i,1964-cü ilin oktyabrın 12-i
860296669_436506_436511_30290,on iki fevral 1982,on iki fevral 1982
860296669_436515_436519_27338,1954-cü ilin fevralın 26-ı,1954-cü ilin fevralın 26-ı
619589413_436530_436536_29681,19.05.1979,19.05.1979
860296669_436534_436543_27637,1911-ci ilin oktyabrın 29-u,1911-ci ilin oktyabrın 29-u
1269496718_436567_436574_29216,25.02.1963,25.02.1963
568204248_436575_436579_29421,23.06.1913,23.06.1913
1269496718_436576_436590_28285,fevralın 8-i 1901-ci il,fevralın 8-i 1901-ci il
568204248_436588_436593_29114,sentyabrın 28-i 1905-ci il,sentyabrın 28-i 1905-ci il
341881303_436654_436658_27952,1934-cü ilin fevralın 29-u,1934-cü ilin fevralın 29-u
912272968_436652_436657_30250,on altı aprel 1923,on altı aprel 1923
568204248_436663_436667_30319,iyirmi dörd iyun 1962,iyirmi dörd iyun 1962
912272968_436660_436684_28952,yanvarın 11-i 1983-cü il,yanvarın 11-i 1983-cü il
568204248_436706_436715_30748,on iki dekabr 1959,on iki dekabr 1959
619589413_436712_436718_29925,04.10.1985,04.10.1985
619589413_436733_436741_30460,iyirmi altı dekabr 1966,iyirmi altı dekabr 1966
341881303_436736_436745_31680,yetmiş üçün dekabr ayı,yetmiş üçün dekabr ayı
860296669_436799_436810_30448,iyirmi beş oktyabr 1971,iyirmi beş oktyabr 1971
1269496718_436835_436846_28745,iyunun 4-ü 1976-cı il,iyunun 4-ü 1976-cı il
860296669_436812_436848_29103,fevralın 23-ü 1943-cü il,fevralın 23-ü 1943-cü il
341881303_436847_436855_31975,altımış yeddinin may ayı,altımış yeddinin may ayı
568204248_436867_436872_27831,1963-cü ilin noyabrın 12-i,1963-cü ilin noyabrın 12-i
860296669_436864_436873_27592,1976-cı ilin oktyabrın 6-ı,1976-cı ilin oktyabrın 6-ı
912272968_436871_436881_30578,üç dekabr 1940,üç dekabr 1940
860296669_436875_436886_29613,17.08.2005,19.08.2005
1269496718_436879_436888_29774,14.05.2008,14.05.2008
912272968_436924_436931_28612,oktyabrın 20-i 1991-ci il,oktyabrın 20-i 1991-ci il
568204248_436942_436945_30350,iki mart 1995,iki mart 1995
568204248_436954_436966_28329,martın 18-i 1933-cü il,martın 18-i 1933-cü il
1269496718_436982_436990_30126,20.03.2009,20.03.2009
860296669_437052_437055_29865,26.01.1984,26.01.1984
619589413_437087_437092_28211,yanvarın 12-i 1901-ci il,yanvarın 12-i 1901-ci il
568204248_437124_437135_30900,altı sentyabr 1910,altı sentyabr 1910
568204248_437148_437153_27432,1921-ci ilin martın 18-i,1921-ci ilin martın 18-i
619589413_437150_437154_29895,21.06.2018,21.06.2018
860296669_437152_437163_27286,1914-cü ilin fevralın 2-i,1914-cü ilin fevralın 2-i
1269496718_437160_437169_31738,otuz üçün fevral ayı,otuz üçün fevral ayı
860296669_437165_437174_31275,doxsan üçün dekabr ayı,doxsan üçün dekabr ayı
912272968_437166_437177_28932,martın 22-i 1952-ci il,martın 22-i 1952-ci il
860296669_437175_437188_32088,otuz ikinin oktyabr ayı,otuz ikinin oktyabr ayı
619589413_437185_437195_28544,oktyabrın 21-i 1906-cı il,oktyabrın 21-i 1906-cı il
568204248_437183_437197_28829,oktyabrın 8-i 1907-ci il,oktyabrın 8-i 1907-ci il
860296669_437210_437219_28536,mayın 24-ü 1954-cü il,mayın 24-ü 1954-cü il
619589413_437214_437220_31658,otuz doqquzun mart ayı,otuz doqquzun mart ayı
568204248_437218_437227_31767,ikimin səkkizin aprel ayı, 2008-ci ilin aprel ayı
568204248_437244_437251_29419,10.07.1992,10.07.1992
568204248_437275_437280_32070,iyirmi birin fevral ayı,iyirmi birin fevral ayı
568204248_437305_437309_29626,29.09.1970,29.09.1970
619589413_437318_437319_30418,doqquz noyabr 1943,doqquz noyabr 1943
619589413_437321_437323_27495,1968-ci ilin fevralın 9-u, 1968-ci ilin fevralın 9-u
568204248_437350_437353_31595,yetmiş altının may ayı,yetmiş altının may ayı
619589413_437390_437393_27175,1981-ci ilin sentyabrın 5-i,1981-ci ilin sentyabrın 5-i
619589413_437394_437401_28103,2019-cu ilin fevralın 29-u,2019-cu ilin fevralın 29-u
