audio,audio_filepath,data_type,transcription
1009209372_463586_463593_29108,/train/date/voices/1009209372_463586_463593_29108.ogg,dat,Өйтіңіздіңіздіңіздіңіздіңіздіңіздіңіздіңіздіңіздіңіздіңіздіңіздіңіздіңіздіңіздіңіздіңіздіңіздіңіздіңіздіңіздіңіздіңіздіңіздіңіздіңіздіңіздіңіздіңіздіңіздіңіздіңіздіңіздіңіздіңіздіңіздіңіздіңіздіңіздіңіздіңіздіңіздіңіздің
1009209372_477591_477598_31138,/train/date/voices/1009209372_477591_477598_31138.ogg,dat,"Üç firma, 1955."
1347919237_479284_479293_27203,/train/date/voices/1347919237_479284_479293_27203.ogg,dat,миндокүзгіз онбекшінcü ілін сентябрын дөрді
1051072005_444298_444299_31986,/train/date/voices/1051072005_444298_444299_31986.ogg,dat,61-in aprel ayı
1082554792_464952_464999_31706,/train/date/voices/1082554792_464952_464999_31706.ogg,dat,يتمش يدين أفريل أي
539261624_464254_464275_28840,/train/date/voices/539261624_464254_464275_28840.ogg,dat,aprelin on beşi iki min on üçüncü il
1201653758_461350_461353_30959,/train/date/voices/1201653758_461350_461353_30959.ogg,dat,30 oktiabr 1944
809763511_477666_477683_29422,/train/date/voices/809763511_477666_477683_29422.ogg,dat,сфір еті нөкті сфір доқыз нөкті миндокүзүз ермі беш
1201653758_472560_472575_30483,/train/date/voices/1201653758_472560_472575_30483.ogg,dat,2 август 1936
527731854_466538_466548_30618,/train/date/voices/527731854_466538_466548_30618.ogg,dat,28 ноябр 1923
575298922_459620_459629_28800,/train/date/voices/575298922_459620_459629_28800.ogg,dat,сентябрын он үчі үкімін он бірінші іл
919361428_427845_427846_31834,/train/date/voices/919361428_427845_427846_31834.ogg,dat,36'nın Mart ayı.
1201653758_477031_477050_31884,/train/date/voices/1201653758_477031_477050_31884.ogg,dat,доқсан бішін апрель айы
341881303_441185_441189_30896,/train/date/voices/341881303_441185_441189_30896.ogg,dat,11 yüyl 1958
527731854_466295_466303_29089,/train/date/voices/527731854_466295_466303_29089.ogg,dat,Martın 19-cu 1953-cü
1043664892_428937_428938_29813,/train/date/voices/1043664892_428937_428938_29813.ogg,dat,16 0 5 bin 964
912272968_433604_433608_28960,/train/date/voices/912272968_433604_433608_28960.ogg,dat,мартның онбеші 2003-ті ил
1229817727_457246_457257_30322,/train/date/voices/1229817727_457246_457257_30322.ogg,dat,24 сентябр 1991
892642911_455931_455939_30143,/train/date/voices/892642911_455931_455939_30143.ogg,dat,10.02.1974
1013880018_450150_450157_28697,/train/date/voices/1013880018_450150_450157_28697.ogg,dat,августын 21-1989-cı ил
329749591_486158_486159_31007,/train/date/voices/329749591_486158_486159_31007.ogg,dat,8 fevral 2011
2016758610_471370_471379_30582,/train/date/voices/2016758610_471370_471379_30582.ogg,dat,ермейкі марта мүн дұқызүз доқсан
5591209497_451880_451888_30276,/train/date/voices/5591209497_451880_451888_30276.ogg,dat,18 sentyabr 2009
1268975918_426174_426175_31872,/train/date/voices/1268975918_426174_426175_31872.ogg,dat,2007-nin dekabr ayı
568204248_439668_439671_29321,/train/date/voices/568204248_439668_439671_29321.ogg,dat,нолдоккөз нолбір миндокгүз онкі
426881765_464601_464618_30684,/train/date/voices/426881765_464601_464618_30684.ogg,dat,18 феврал 1902
5591209497_453889_453898_28817,/train/date/voices/5591209497_453889_453898_28817.ogg,dat,Martın yətisi 1995-ci il
919361428_427563_427564_27341,/train/date/voices/919361428_427563_427564_27341.ogg,dat,1919-үн зүйлейін декабрын 15-і
5028632961_419423_419424_31526,/train/date/voices/5028632961_419423_419424_31526.ogg,dat,Он үшінен февраль айы.
329749591_487302_487303_29063,/train/date/voices/329749591_487302_487303_29063.ogg,dat,забырын ермей үшін мен докүз 99-үн үйел
314849420_474211_474225_28005,/train/date/voices/314849420_474211_474225_28005.ogg,dat,2003. үлін мағын 25-і
828296631_455319_455323_28454,/train/date/voices/828296631_455319_455323_28454.ogg,dat,fevralın bir 1989-cu il
1229817727_459959_459972_28375,/train/date/voices/1229817727_459959_459972_28375.ogg,dat,Einn yonun üçyö min doku hús əlliyyétt þig.
1043664892_430513_430514_29762,/train/date/voices/1043664892_430513_430514_29762.ogg,dat,Өн сәкі сүфір бір мен өк өз қық бір
860296669_457696_457706_30835,/train/date/voices/860296669_457696_457706_30835.ogg,dat,20 fevral 2013
1269496718_441525_441530_28558,/train/date/voices/1269496718_441525_441530_28558.ogg,dat,Mart'ın 10.1918. il
1009209372_463177_463185_29839,/train/date/voices/1009209372_463177_463185_29839.ogg,dat,19 09 2001
976055738_450658_450694_31797,/train/date/voices/976055738_450658_450694_31797.ogg,dat,Алтмаш берин и юная.
1269496718_431933_431934_27962,/train/date/voices/1269496718_431933_431934_27962.ogg,dat,2024-cü ilin avqustun 5-i.
527731854_457526_457534_30464,/train/date/voices/527731854_457526_457534_30464.ogg,dat,21-й үйін 1970-мүш
539261624_465544_465554_30930,/train/date/voices/539261624_465544_465554_30930.ogg,dat,15 ayun 2025
5028632961_421566_421567_29685,/train/date/voices/5028632961_421566_421567_29685.ogg,dat,27 0 0 9 2 5
815993798_469210_469219_31627,/train/date/voices/815993798_469210_469219_31627.ogg,dat,39. Sintyabr ayı
568204248_440074_440077_28468,/train/date/voices/568204248_440074_440077_28468.ogg,dat,октябрын он докүзу миндокүз асмышты өлдінші іл
763941567_459515_459523_29976,/train/date/voices/763941567_459515_459523_29976.ogg,dat,ұн сәккес сүрдөкөз мен өкөз көп қалты
5196964268_465309_465319_30177,/train/date/voices/5196964268_465309_465319_30177.ogg,dat,ермиті апрель 1976
809763511_483791_483793_31260,/train/date/voices/809763511_483791_483793_31260.ogg,dat,44-dun yanvar ay.
619589413_441022_441025_30856,/train/date/voices/619589413_441022_441025_30856.ogg,dat,1 май 1976
5591209497_451269_451274_30095,/train/date/voices/5591209497_451269_451274_30095.ogg,dat,ƏZƏZƏZƏZƏZƏZƏZƏZƏZƏZƏZƏZƏZƏZƏZƏZƏZƏZƏZƏZƏZƏZƏZƏZƏZƏZƏZƏZƏZƏZƏZƏZƏZƏZƏZƏZƏZƏZƏZƏZƏZƏZƏZƏZƏZƏZƏZƏZƏZƏZƏZƏZƏZƏZƏZƏZƏZƏZƏZƏZƏZƏZƏZƏZƏZƏZƏZƏZƏZƏZƏZƏZƏZƏZ
763941567_455503_455510_30068,/train/date/voices/763941567_455503_455510_30068.ogg,dat,Yirmi altı sıfır səkkiz iki min beş
1009209372_463254_463259_28541,/train/date/voices/1009209372_463254_463259_28541.ogg,dat,"2010, 2010, 2009 sünnüz."
426881765_421777_421780_30208,/train/date/voices/426881765_421777_421780_30208.ogg,dat,10 May 1953
1201653758_471062_471071_28528,/train/date/voices/1201653758_471062_471071_28528.ogg,dat,ноябрын yeddísi min doxcqyxs ikін-ci i-l
671891258_421958_421959_32147,/train/date/voices/671891258_421958_421959_32147.ogg,dat,Əlli doqcuzun oktyavr ayı
1268975918_425564_425565_31746,/train/date/voices/1268975918_425564_425565_31746.ogg,dat,94-dün avqust-ayı
329749591_486238_486239_30075,/train/date/voices/329749591_486238_486239_30075.ogg,dat,28 İyun 2002
1043664892_430164_430168_27912,/train/date/voices/1043664892_430164_430168_27912.ogg,dat,1948-ci ilin iyunun biri
1201653758_479017_479032_29472,/train/date/voices/1201653758_479017_479032_29472.ogg,dat,09 03 1987
1347919237_483225_483232_30132,/train/date/voices/1347919237_483225_483232_30132.ogg,dat,07-03-2012
1128232293_466161_466184_28575,/train/date/voices/1128232293_466161_466184_28575.ogg,dat,иулын 13-і 1909-ын ил
1201653758_461171_461183_27808,/train/date/voices/1201653758_461171_461183_27808.ogg,dat,1943-cü ілін октябрын 23-і.
860296669_466700_466708_27729,/train/date/voices/860296669_466700_466708_27729.ogg,dat,үкімін бірінші ілін декабрын үші
713611046_437763_437774_30597,/train/date/voices/713611046_437763_437774_30597.ogg,dat,30 fevral 1964
568204248_438277_438280_27520,/train/date/voices/568204248_438277_438280_27520.ogg,dat,мен нокүз алтмыш үшінде елін мартын үші
539261624_465890_465910_32126,/train/date/voices/539261624_465890_465910_32126.ogg,dat,қырқық сәкізін ноябры айы
912272968_433543_433550_28861,/train/date/voices/912272968_433543_433550_28861.ogg,dat,сентябрын yirmі yetтісі 1924-ті іл
713611046_437939_437944_28354,/train/date/voices/713611046_437939_437944_28354.ogg,dat,ianvarın altısı 1956-cı il
892642911_452861_452871_29607,/train/date/voices/892642911_452861_452871_29607.ogg,dat,12-05-1979
1128232293_465757_465764_32080,/train/date/voices/1128232293_465757_465764_32080.ogg,dat,Əlli ikinin iğnayı
910545275_415487_415488_31085,/train/date/voices/910545275_415487_415488_31085.ogg,dat,17 yıl 1928
1082554792_451110_451116_28272,/train/date/voices/1082554792_451110_451116_28272.ogg,dat,сәнке ауырдың алтысы менде күзгіріқпай шензейіл
815993798_462843_462852_30963,/train/date/voices/815993798_462843_462852_30963.ogg,dat,"Otuz May, 1989"
671891258_422064_422065_31808,/train/date/voices/671891258_422064_422065_31808.ogg,dat,2006'nın İyun ayı
919361428_432579_432580_28013,/train/date/voices/919361428_432579_432580_28013.ogg,dat,1974-cü ілінің февралын онлайн-алтысы
919361428_427191_427192_29694,/train/date/voices/919361428_427191_427192_29694.ogg,dat,04 04 1986
705098248_421149_421151_29431,/train/date/voices/705098248_421149_421151_29431.ogg,dat,05 06 2 1
539261624_464337_464343_28306,/train/date/voices/539261624_464337_464343_28306.ogg,dat,сентябрын оңбирі миндокүзкіркүйкенжі ил
1229817727_459537_459578_30608,/train/date/voices/1229817727_459537_459578_30608.ogg,dat,"Dört, margt, mynd og góðu hús að hús."
2016758610_482615_482623_30530,/train/date/voices/2016758610_482615_482623_30530.ogg,dat,24 dekabr 1931
640339050_483198_483205_28339,/train/date/voices/640339050_483198_483205_28339.ogg,dat,aprelin yirmi səkkizi 1929-cu il
1229817727_468423_468441_29630,/train/date/voices/1229817727_468423_468441_29630.ogg,dat,сұпыр алты он ечі міндікүзүз тоқсан еті
575298922_445352_445353_31403,/train/date/voices/575298922_445352_445353_31403.ogg,dat,On dördun yun ayı.
1297961140_463349_463356_30619,/train/date/voices/1297961140_463349_463356_30619.ogg,dat,23 август 1903
329749591_487236_487237_32144,/train/date/voices/329749591_487236_487237_32144.ogg,dat,70-70 Mayaya
5440156582_417636_417637_27211,/train/date/voices/5440156582_417636_417637_27211.ogg,dat,И чем ни чин зейден ноябъра норъкеси.
1297961140_461176_461179_29501,/train/date/voices/1297961140_461176_461179_29501.ogg,dat,12.04.2009
892642911_452257_452262_31559,/train/date/voices/892642911_452257_452262_31559.ogg,dat,Yetmið íçinin oktyabr ái.
1878274529_460810_460811_32090,/train/date/voices/1878274529_460810_460811_32090.ogg,dat,Əksən bəşin dekabr ayı
1269496718_433947_433966_27970,/train/date/voices/1269496718_433947_433966_27970.ogg,dat,1907-йылын яғары 25-іній
860296669_457634_457650_29514,/train/date/voices/860296669_457634_457650_29514.ogg,dat,13 02 1985
815993798_473520_473533_27604,/train/date/voices/815993798_473520_473533_27604.ogg,dat,миндокүзгі қиеттенциялын апрельнің ону
329749591_486865_486866_27504,/train/date/voices/329749591_486865_486866_27504.ogg,dat,1934. ilin noyabrın 26'sı.
976055738_449603_449615_30076,/train/date/voices/976055738_449603_449615_30076.ogg,dat,27 may 1984
341881303_438293_438298_27409,/train/date/voices/341881303_438293_438298_27409.ogg,dat,1955. yılın Ion'un 14'ü.
1150481435_416124_416125_30913,/train/date/voices/1150481435_416124_416125_30913.ogg,dat,8 avqust 2017
1269496718_433483_433488_31742,/train/date/voices/1269496718_433483_433488_31742.ogg,dat,73 сентября
575298922_418457_418458_28589,/train/date/voices/575298922_418457_418458_28589.ogg,dat,апрельнің ермейеттесі 1969-н ил
329749591_486903_486904_29480,/train/date/voices/329749591_486903_486904_29480.ogg,dat,он доқүз марта 1991
1082554792_469459_469476_29225,/train/date/voices/1082554792_469459_469476_29225.ogg,dat,Ермейндақұрыс бір бір міндіккіз омір
919361428_427697_427698_31665,/train/date/voices/919361428_427697_427698_31665.ogg,dat,81-in avqustayı
527731854_462900_462907_30935,/train/date/voices/527731854_462900_462907_30935.ogg,dat,14 İYİ 1970
713611046_476676_476691_30524,/train/date/voices/713611046_476676_476691_30524.ogg,dat,5 Avgust 2014
619589413_440839_440840_31003,/train/date/voices/619589413_440839_440840_31003.ogg,dat,6 dekabr 1953
314849420_449899_449905_28422,/train/date/voices/314849420_449899_449905_28422.ogg,dat,июн доқызы миндокүзіс он етінші ел
1043664892_430499_430500_28784,/train/date/voices/1043664892_430499_430500_28784.ogg,dat,랩라운드 억구즈 밴드 억구즈 더슬더 꾸준즈
341881303_436341_436355_27452,/train/date/voices/341881303_436341_436355_27452.ogg,dat,2022 ilin aprelin 16-sı
815993798_468430_468435_27754,/train/date/voices/815993798_468430_468435_27754.ogg,dat,2008-ci idin martın irmidox-u
828296631_448669_448675_29523,/train/date/voices/828296631_448669_448675_29523.ogg,dat,17-06-1909
910545275_415307_415308_27937,/train/date/voices/910545275_415307_415308_27937.ogg,dat,"Şimdən 6-cı ili, April-in 9-cu."
815993798_453755_453778_27226,/train/date/voices/815993798_453755_453778_27226.ogg,dat,1962-ci ilin avqustun 19-u
527731854_461874_461882_32102,/train/date/voices/527731854_461874_461882_32102.ogg,dat,17. yılın ayı
568204248_438370_438371_29005,/train/date/voices/568204248_438370_438371_29005.ogg,dat,нөябрің ирмесі імен дөкіз іс ермесің бешінде ил
919361428_429374_429375_29211,/train/date/voices/919361428_429374_429375_29211.ogg,dat,yirmi altı sıfır yediye min dokuz yerdir dokuz
619589413_441102_441105_27542,/train/date/voices/619589413_441102_441105_27542.ogg,dat,1938-ci ilin avqustun 6-sı
671891258_422357_422358_31570,/train/date/voices/671891258_422357_422358_31570.ogg,dat,83-dəkabr ayı
1201653758_442942_442943_29503,/train/date/voices/1201653758_442942_442943_29503.ogg,dat,3107 1938
954206432_424345_424346_28506,/train/date/voices/954206432_424345_424346_28506.ogg,dat,ионың ермекесі миндокозүз альмыш алтыншы ел
1013880018_451692_451702_30495,/train/date/voices/1013880018_451692_451702_30495.ogg,dat,20 октябур 1966
1878274529_445883_445887_27738,/train/date/voices/1878274529_445883_445887_27738.ogg,dat,1970-тігін ноябрі 19-тігі
5196964268_424562_424563_30819,/train/date/voices/5196964268_424562_424563_30819.ogg,dat,13 май 1941
860296669_428245_428246_29278,/train/date/voices/860296669_428245_428246_29278.ogg,dat,сфыр бір он икі міндокүз отыз бір
568204248_434897_434898_27730,/train/date/voices/568204248_434897_434898_27730.ogg,dat,1982-ci ilin aprelin 12-si
1082554792_486023_486026_31267,/train/date/voices/1082554792_486023_486026_31267.ogg,dat,Ég týmust marðaði.
575298922_444664_444665_30378,/train/date/voices/575298922_444664_444665_30378.ogg,dat,Írmi eti afgúst 1941.
954206432_426127_426128_28512,/train/date/voices/954206432_426127_426128_28512.ogg,dat,сентябрын отыз бере 1923-гі ил
1297961140_474385_474641_30654,/train/date/voices/1297961140_474385_474641_30654.ogg,dat,18 sentyabr 1933
1051072005_433846_433849_31382,/train/date/voices/1051072005_433846_433849_31382.ogg,dat,ивториялық ивториялық қалған қалған қалған қалған қалған
1269496718_435995_436000_29468,/train/date/voices/1269496718_435995_436000_29468.ogg,dat,3108 1940
5028632961_418897_418898_28084,/train/date/voices/5028632961_418897_418898_28084.ogg,dat,миндокүз әлі алтынды ілін октябрын он сәткізі
1201653758_462132_462144_30360,/train/date/voices/1201653758_462132_462144_30360.ogg,dat,16 oktyabr 1970
976055738_453243_453261_27384,/train/date/voices/976055738_453243_453261_27384.ogg,dat,"Çimi, Denizə ilə nəyabrın 28-də"
954206432_424321_424322_27427,/train/date/voices/954206432_424321_424322_27427.ogg,dat,мен докозис алтмыш үшін-жі үйлен февралын дөрді
1013880018_442777_442782_27617,/train/date/voices/1013880018_442777_442782_27617.ogg,dat,1919-ын-аугустын 5-и
329749591_486470_486471_31313,/train/date/voices/329749591_486470_486471_31313.ogg,dat,2001 fevral ayı
828296631_455401_455406_28321,/train/date/voices/828296631_455401_455406_28321.ogg,dat,апрелін ұнбеші 2019-ынды ил
671891258_469457_469467_29203,/train/date/voices/671891258_469457_469467_29203.ogg,dat,27-03-1990
828296631_456137_456156_31567,/train/date/voices/828296631_456137_456156_31567.ogg,dat,Altımış altının oktyabrı ayı.
809763511_477528_477541_28316,/train/date/voices/809763511_477528_477541_28316.ogg,dat,ноябрын беші 1955-інді
713611046_483003_483021_29800,/train/date/voices/713611046_483003_483021_29800.ogg,dat,03-10-2016
671891258_470486_470498_29599,/train/date/voices/671891258_470486_470498_29599.ogg,dat,қазір беш сүр сәкіз min 956
815993798_457648_457663_29066,/train/date/voices/815993798_457648_457663_29066.ogg,dat,Aprelin 7-si 1939-cu il
713611046_475198_475242_28163,/train/date/voices/713611046_475198_475242_28163.ogg,dat,İyunun 26-sı 1993-cü il
341881303_438878_438883_27167,/train/date/voices/341881303_438878_438883_27167.ogg,dat,2008. yılın Mart'ın 19'u
1297961140_461259_461261_31710,/train/date/voices/1297961140_461259_461261_31710.ogg,dat,25-dən fevrəl ayı
426881765_476067_476107_30867,/train/date/voices/426881765_476067_476107_30867.ogg,dat,3 Mart 1919
815993798_455664_455670_28961,/train/date/voices/815993798_455664_455670_28961.ogg,dat,Səntyabrın 25-i 1972-ci il.
1013880018_449736_449747_31924,/train/date/voices/1013880018_449736_449747_31924.ogg,dat,12-dyn aprile
892642911_472052_472063_28874,/train/date/voices/892642911_472052_472063_28874.ogg,dat,mayın on beşi 1973-ci il
671891258_476761_476772_31433,/train/date/voices/671891258_476761_476772_31433.ogg,dat,84'ün Mart ayı.
1082554792_472519_472540_27340,/train/date/voices/1082554792_472519_472540_27340.ogg,dat,өзі құрыл құрыл құрыл құрыл құрыл құрыл құрыл құрыл құрыл құрыл құрыл құрыл құрыл құрыл құрыл құрыл құрыл құрыл құрыл құрыл құрыл құрыл құрыл құрыл құрыл құрыл құрыл құрыл құрыл құрыл құрыл құрыл құрыл құрыл құрыл құрыл қ
2016758610_471636_471647_30173,/train/date/voices/2016758610_471636_471647_30173.ogg,dat,8 yanvar 2022
713611046_458251_458261_29826,/train/date/voices/713611046_458251_458261_29826.ogg,dat,26 02 1969
539261624_459996_460003_31473,/train/date/voices/539261624_459996_460003_31473.ogg,dat,Ég það mér besinn dekabrari.
1051072005_444330_444331_32160,/train/date/voices/1051072005_444330_444331_32160.ogg,dat,34-үйулайы
860296669_430748_430749_31380,/train/date/voices/860296669_430748_430749_31380.ogg,dat,76'nın İyul ayı
828296631_470016_470037_29620,/train/date/voices/828296631_470016_470037_29620.ogg,dat,нолдокүз нолдокүз миндокүзүз қықтокүз
1269496718_441750_441761_30765,/train/date/voices/1269496718_441750_441761_30765.ogg,dat,17 феврал 2001
763941567_455034_455041_27580,/train/date/voices/763941567_455034_455041_27580.ogg,dat,1966 yılında yılın altısı
763941567_452064_452078_27530,/train/date/voices/763941567_452064_452078_27530.ogg,dat,1984-cü ilin yanvarın üçü.
426881765_467403_467424_28199,/train/date/voices/426881765_467403_467424_28199.ogg,dat,сентябрын докүзі міндокүз әлді докүзінші іл
1082554792_447316_447318_27571,/train/date/voices/1082554792_447316_447318_27571.ogg,dat,2019-ын зелин февралы 19-ы
575298922_418579_418580_27163,/train/date/voices/575298922_418579_418580_27163.ogg,dat,1953-cü ilin fevralının ondördü
539261624_464581_464590_28280,/train/date/voices/539261624_464581_464590_28280.ogg,dat,ilun altısı 1979-cı il
912272968_436430_436441_28850,/train/date/voices/912272968_436430_436441_28850.ogg,dat,сентябрін ермі бері икімін икен-жі ил
5028632961_419153_419154_28943,/train/date/voices/5028632961_419153_419154_28943.ogg,dat,декабур үн 19-үй-1933-ті ил
568204248_439299_439305_28732,/train/date/voices/568204248_439299_439305_28732.ogg,dat,апрельның 26-ы 1984-ші ил
671891258_468509_468525_27166,/train/date/voices/671891258_468509_468525_27166.ogg,dat,Өнекелері құрылымыз құрылымыз құрылымыз құрылымыз құрылымыз құрылымыз құрылымыз құрылымыз құрылымыз құрылымыз құрылымыз құрылымыз құрылымыз құрылымыз құрылымыз құрылымыз құрылымыз құрылымыз құрылымыз құрылымыз құрылымыз құрылымыз құрылымыз құрылымы
815993798_464349_464357_29017,/train/date/voices/815993798_464349_464357_29017.ogg,dat,martın on beşi 1933-cü il
1082554792_470393_470401_30936,/train/date/voices/1082554792_470393_470401_30936.ogg,dat,4 May 1970
1268975918_425929_425930_32024,/train/date/voices/1268975918_425929_425930_32024.ogg,dat,75-in fevral ayı.
860296669_437175_437188_32088,/train/date/voices/860296669_437175_437188_32088.ogg,dat,32'nin Oktyabr ayı
815993798_469341_469348_27989,/train/date/voices/815993798_469341_469348_27989.ogg,dat,1986 yılının fevralının 11'i
314849420_447989_448010_27915,/train/date/voices/314849420_447989_448010_27915.ogg,dat,миндокүзі сәрсән түкінші ілін декабрын ермейші
976055738_447676_447689_31810,/train/date/voices/976055738_447676_447689_31810.ogg,dat,Ичимин дотен и юная.
1043664892_444889_444890_28717,/train/date/voices/1043664892_444889_444890_28717.ogg,dat,апрельдің сәкізі миндокүз-еңгіздің істейінде
1128232293_445500_445511_27513,/train/date/voices/1128232293_445500_445511_27513.ogg,dat,2022-ci құқтавры 26-ы
815993798_462044_462054_31475,/train/date/voices/815993798_462044_462054_31475.ogg,dat,세섯두두는 센티아 브라이.
919361428_427017_427018_28842,/train/date/voices/919361428_427017_427018_28842.ogg,dat,Yanvarın 10-u 1935-ci il
5028632961_418674_418675_28781,/train/date/voices/5028632961_418674_418675_28781.ogg,dat,Þeir hún alðsa minn þokkur þýr mérdindi yl.
1150481435_413597_413598_29172,/train/date/voices/1150481435_413597_413598_29172.ogg,dat,20 09 1904
619589413_439464_439469_32129,/train/date/voices/619589413_439464_439469_32129.ogg,dat,89-un noyabrayı.
5440156582_424807_424808_30738,/train/date/voices/5440156582_424807_424808_30738.ogg,dat,3 April 1944
1297961140_459883_459892_29741,/train/date/voices/1297961140_459883_459892_29741.ogg,dat,25 06 1944
671891258_469707_469715_27646,/train/date/voices/671891258_469707_469715_27646.ogg,dat,1934-cü ilin eynin 23-cü.
1128232293_447634_447643_28091,/train/date/voices/1128232293_447634_447643_28091.ogg,dat,өзіптіңіздіңіздіңіздіңіздіңіздіңіздіңіздіңіздіңіздіңіздіңіздіңіздіңіздіңіздіңіздіңіздіңіздіңіздіңіздіңіздіңіздіңіздіңіздіңіздіңіздіңіздіңіздіңіздіңіздіңіздіңіздіңіздіңіздіңіздіңіздіңіздіңіздіңіздіңіздіңіздіңіздіңіздіңізді
892642911_423781_423782_27987,/train/date/voices/892642911_423781_423782_27987.ogg,dat,міндікүз доқсан бешінді ілін октябрын беші
954206432_453295_453304_30888,/train/date/voices/954206432_453295_453304_30888.ogg,dat,июн икемен алты
919361428_427849_427850_30740,/train/date/voices/919361428_427849_427850_30740.ogg,dat,13.00. 12.00. 13.00.
5196964268_445210_445211_27280,/train/date/voices/5196964268_445210_445211_27280.ogg,dat,1990 zilin İON'un 15'i
2016758610_468906_468911_27304,/train/date/voices/2016758610_468906_468911_27304.ogg,dat,міндокүзүз докүзінші ілін январын ермідокүзі
713611046_453342_453351_30641,/train/date/voices/713611046_453342_453351_30641.ogg,dat,14 May 1907
619589413_448128_448140_31404,/train/date/voices/619589413_448128_448140_31404.ogg,dat,қырқық пешін июнің айы
1051072005_434731_434732_27965,/train/date/voices/1051072005_434731_434732_27965.ogg,dat,1948-ін үйлін апрелин 26-сы.
341881303_438219_438223_29456,/train/date/voices/341881303_438219_438223_29456.ogg,dat,1506 1980
575298922_418360_418361_31060,/train/date/voices/575298922_418360_418361_31060.ogg,dat,Ермей-үй апрель 1915
527731854_459820_459827_30235,/train/date/voices/527731854_459820_459827_30235.ogg,dat,12 Mart 1974
860296669_418074_418075_29105,/train/date/voices/860296669_418074_418075_29105.ogg,dat,август оналықсы 1984-ші ил
763941567_456487_456503_28066,/train/date/voices/763941567_456487_456503_28066.ogg,dat,үйкімін елмі-бешінде үйлінің август үткен бірі
860296669_430586_430589_31594,/train/date/voices/860296669_430586_430589_31594.ogg,dat,85-in mart ayı
640339050_465340_465365_29714,/train/date/voices/640339050_465340_465365_29714.ogg,dat,30.05.1907
619589413_440837_440838_31018,/train/date/voices/619589413_440837_440838_31018.ogg,dat,15 сентябр 1932
5196964268_443366_443367_28396,/train/date/voices/5196964268_443366_443367_28396.ogg,dat,августың етісі мүн дұқығыз ұттыс пешінді ил
954206432_417818_417819_29851,/train/date/voices/954206432_417818_417819_29851.ogg,dat,Сүфір ікі сүфір доқкуз мен доқкуз үз күркүйч
527731854_459285_459293_30050,/train/date/voices/527731854_459285_459293_30050.ogg,dat,30-09-1915
329749591_486811_486812_27998,/train/date/voices/329749591_486811_486812_27998.ogg,dat,міндокүз алтмыш ікенінші ілін зентабрын алған бері
954206432_424355_424356_30120,/train/date/voices/954206432_424355_424356_30120.ogg,dat,ирмейдокүс сұрдокүс икімендөрт
828296631_456363_456370_28123,/train/date/voices/828296631_456363_456370_28123.ogg,dat,1923-ci илі нөкті ябрының он уйтшы
568204248_435420_435431_27594,/train/date/voices/568204248_435420_435431_27594.ogg,dat,1993-cü ілін ноябрын 18-і
860296669_430847_430848_31238,/train/date/voices/860296669_430847_430848_31238.ogg,dat,2000-in yanvar ayı
1347919237_482633_482648_31681,/train/date/voices/1347919237_482633_482648_31681.ogg,dat,Elli dörðun aprílagi.
763941567_432283_432284_30770,/train/date/voices/763941567_432283_432284_30770.ogg,dat,24 yanvar 1988
828296631_452690_453220_31836,/train/date/voices/828296631_452690_453220_31836.ogg,dat,2004'ün sentiyabr ayı
575298922_443152_443155_27313,/train/date/voices/575298922_443152_443155_27313.ogg,dat,миндокүзүйсәсәсәндокүзін-жу-илін декабрын онбери
1013880018_467096_467113_31413,/train/date/voices/1013880018_467096_467113_31413.ogg,dat,36'nın iyiliği
671891258_463904_463907_30477,/train/date/voices/671891258_463904_463907_30477.ogg,dat,13 dekabr 1933
527731854_458818_458820_28058,/train/date/voices/527731854_458818_458820_28058.ogg,dat,Өйтің құрыл құрыл құрыл құрыл құрыл құрыл құрыл құрыл құрыл құрыл құрыл құрыл құрыл құрыл құрыл құрыл құрыл құрыл құрыл құрыл құрыл құрыл құрыл құрыл құрыл құрыл құрыл құрыл құрыл құрыл құрыл құрыл құрыл құрыл құрыл құры
671891258_477658_477669_31157,/train/date/voices/671891258_477658_477669_31157.ogg,dat,31 ok diyabı 2014
713611046_438130_438135_30628,/train/date/voices/713611046_438130_438135_30628.ogg,dat,otuz bir yıl 1907
2016758610_482682_482693_27899,/train/date/voices/2016758610_482682_482693_27899.ogg,dat,1978-ci ilin eylülün 24-dü
1150481435_414480_414481_30897,/train/date/voices/1150481435_414480_414481_30897.ogg,dat,Yettí íjún minn dokkudhüð altmýð dörd.
713611046_475411_475426_31971,/train/date/voices/713611046_475411_475426_31971.ogg,dat,14-үн октябр айы.
575298922_418294_418295_30427,/train/date/voices/575298922_418294_418295_30427.ogg,dat,4 fevral 1913
1297961140_473889_473910_27221,/train/date/voices/1297961140_473889_473910_27221.ogg,dat,2017 ilin oktyabrı on biri
1043664892_429836_429841_27614,/train/date/voices/1043664892_429836_429841_27614.ogg,dat,1977 yılın 28'i
1150481435_416388_416389_28509,/train/date/voices/1150481435_416388_416389_28509.ogg,dat,августын ермьедерді миндокүзүз алтымүш жетінгі іл
5591209497_448435_448445_30253,/train/date/voices/5591209497_448435_448445_30253.ogg,dat,19 май 1994
1128232293_457184_457192_31248,/train/date/voices/1128232293_457184_457192_31248.ogg,dat,Seisann altinnan dekabræ
568204248_438732_438737_30431,/train/date/voices/568204248_438732_438737_30431.ogg,dat,22 декабр 1931
